iter	Accuracy	MultiClass
609	0.8191502264	0.4209264024
610	0.8192108668	0.4209033689
611	0.819311934	0.4208178259
612	0.8192512937	0.4207834991
613	0.8192917206	0.4207502809
614	0.8193523609	0.4207095123
615	0.819534282	0.4206185184
616	0.8195949224	0.4205904991
617	0.8194736417	0.420556657
618	0.8194736417	0.420447565
619	0.8194736417	0.4204192048
620	0.8195949224	0.4203706076
621	0.8196555627	0.4203122706
622	0.8196151358	0.4202758973
623	0.8196555627	0.4202589173
624	0.8197162031	0.4202222655
625	0.81975663	0.4202139532
626	0.8197970569	0.4201591945
627	0.8199385511	0.4201092864
628	0.8198576973	0.4200595313
629	0.8199587646	0.4200083385
630	0.819978978	0.4199220439
631	0.819978978	0.4198965376
632	0.819978978	0.4198634256
633	0.8200194049	0.4198253912
634	0.8200194049	0.4198128592
635	0.8199991915	0.4197588572
636	0.8200598318	0.4196371923
637	0.8200800453	0.4195590653
638	0.8201406856	0.419477773
639	0.8201811125	0.4194175641
640	0.8201204722	0.4192860203
641	0.8201608991	0.4191962494
642	0.8201811125	0.4191242888
643	0.8201811125	0.419024722
644	0.820201326	0.4189677642
645	0.8201811125	0.4189113951
646	0.8202821798	0.4188422685
647	0.8203023933	0.4187735116
648	0.8202821798	0.4187385768
649	0.8201406856	0.4186978241
650	0.8202619664	0.4186589078
651	0.820201326	0.4185168797
652	0.8202215395	0.418464856
653	0.8201608991	0.4184301103
654	0.820201326	0.4183157672
655	0.8202215395	0.4182034364
656	0.8202619664	0.4181204386
657	0.8203428202	0.4180684399
658	0.8203428202	0.4179439299
659	0.8203226067	0.4179001168
660	0.8204438875	0.4178617663
661	0.820423674	0.4177970144
662	0.8204843144	0.4177432375
663	0.820423674	0.417628963
664	0.820423674	0.4175996182
665	0.8205449547	0.4175056526
666	0.8206258085	0.4174520665
667	0.8206258085	0.417404826
668	0.8206258085	0.4173641585
669	0.8206662354	0.4172855361
670	0.8205247413	0.4172120271
671	0.8206864489	0.4171720368
672	0.8207673027	0.4171266533
673	0.8208481565	0.4170742375
674	0.8209087969	0.4170380222
675	0.8209087969	0.4169949589
676	0.8209087969	0.4169883766
677	0.8209087969	0.4169841059
678	0.8209492238	0.4169392831
679	0.8210502911	0.4168818931
680	0.8211109314	0.4168402763
681	0.8211917853	0.4167297797
682	0.8212119987	0.4166786461
683	0.8212524256	0.4166558368
