iter	Passed	Remaining
990	6633	6754
991	6640	6747
992	6647	6740
993	6653	6734
994	6660	6727
995	6667	6721
996	6673	6713
997	6680	6707
998	6687	6701
999	6694	6694
1000	6701	6688
1001	6709	6682
1002	6715	6675
1003	6721	6668
1004	6728	6661
1005	6735	6654
1006	6741	6647
1007	6747	6640
1008	6754	6634
1009	6761	6627
1010	6768	6620
1011	6774	6614
1012	6780	6606
1013	6786	6599
1014	6793	6592
1015	6800	6585
1016	6806	6579
1017	6813	6572
1018	6820	6566
1019	6827	6559
1020	6834	6552
1021	6841	6546
1022	6847	6540
1023	6854	6533
1024	6861	6527
1025	6868	6520
1026	6875	6513
1027	6882	6507
1028	6890	6502
1029	6896	6494
1030	6903	6488
1031	6921	6492
1032	6933	6490
1033	6943	6486
1034	6952	6481
1035	6959	6475
1036	6966	6469
1037	6972	6462
1038	6979	6455
1039	6986	6449
1040	6993	6442
1041	7000	6436
1042	7007	6429
1043	7014	6423
1044	7021	6416
1045	7027	6409
1046	7034	6403
1047	7040	6395
1048	7046	6388
1049	7053	6381
1050	7060	6374
1051	7066	6368
1052	7074	6361
1053	7084	6358
1054	7092	6353
1055	7100	6347
1056	7106	6340
1057	7113	6333
1058	7120	6327
1059	7126	6320
1060	7134	6313
1061	7140	6306
1062	7146	6299
1063	7153	6292
1064	7159	6285
1065	7166	6279
1066	7173	6272
1067	7180	6265
1068	7186	6258
1069	7192	6251
1070	7199	6244
1071	7205	6237
1072	7212	6231
1073	7218	6224
1074	7225	6216
1075	7231	6210
1076	7238	6203
1077	7244	6196
1078	7251	6189
1079	7258	6183
1080	7265	6176
1081	7272	6169
1082	7278	6163
1083	7285	6156
1084	7292	6149
1085	7299	6143
1086	7306	6136
1087	7313	6130
1088	7320	6123
1089	7327	6117
1090	7334	6110
1091	7341	6104
1092	7348	6097
1093	7355	6091
1094	7362	6085
1095	7369	6078
1096	7377	6072
1097	7384	6066
1098	7391	6059
1099	7397	6052
1100	7404	6045
1101	7411	6039
1102	7417	6032
1103	7424	6025
1104	7430	6018
